"1|MARNEX + FOUNDATION MNRX SRL"|"31632023"|"J40/6137/2013"|"1048"|"Bucureşti"|"Bucureşti Sectorul 4"
"ROBERT & DAVID COMPANY SRL"|"35095364"|"J34/412/2015"|"1048"|"Teleorman"|"Târnava"
"ŞERBAN D. SORIN PERSOANĂ FIZICĂ AUTORIZATĂ"|"31879890"|"F39/490/2013"|"1048"|"Vrancea"|"Diocheti-Rediu"
"PURICE 2014 SRL-D"|"33210548"|"J17/616/2014"|"1048"|"Galaţi"|"Umbrăreşti-Deal"
"MANTERM SRL"|"35095151"|"J4/1041/2015"|"1048"|"Bacău"|"Baraţi"
"EXPERT DENTAL SERVICE SRL"|"35094075"|"J40/12203/2015"|"1048"|"Bucureşti"|"Bucureşti Sectorul 1"
"SEI IN INTERNATIONAL SRL"|"33794412"|"J35/2556/2014"|"1048"|"Timiş"|"Timişoara"
"BÎRGĂOANU ELENA CLAUDIA ÎNTREPRINDERE INDIVIDUALĂ"|"35102577"|"F29/1421/2015"|"1048"|"Prahova"|"Baba Ana"
